Date Time,Latitude,Longitude,Noisy Latitude,Noisy Longitude,Temperature (C),Depth (cm),Turbidity (NTU)
2023-07-06 17:25:07,25.7581787109,-80.3739852905,25.7648601531,-80.3771209716,87.0124969482,-1.0000000000,0.0000000000
2023-07-06 17:25:15,25.7581787109,-80.3739852905,25.7443447113,-80.3774795532,87.8000030517,23.2725543975,0.0000000000
2023-07-06 17:25:20,25.7581672668,-80.3739776611,25.7670822143,-80.3768463134,87.9124984741,23.5469551086,0.0000000000
2023-07-06 17:25:27,25.7581634521,-80.3739852905,25.7670936584,-80.3716201782,88.0250015258,23.5298042297,0.0000000000
2023-07-06 17:25:33,25.7581481933,-80.3739776611,25.7581443786,-80.3820953369,88.0250015258,24.0100040435,0.0000000000
2023-07-06 17:25:40,25.7581481933,-80.3739776611,25.7647666931,-80.3819046020,88.0250015258,23.9928550720,0.0000000000
2023-07-06 17:25:44,25.7581481933,-80.3739776611,25.7642040252,-80.3900680541,88.0250015258,23.5812549591,0.0000000000
2023-07-06 17:25:46,25.7581481933,-80.3739776611,25.7562217712,-80.3770370483,88.1374969482,23.8213539123,0.0000000000
2023-07-06 17:25:51,25.7581367492,-80.3739852905,25.7600669860,-80.3772583007,88.0250015258,23.5298042297,0.0000000000
2023-07-06 17:25:56,25.7581310272,-80.3739852905,25.7589550018,-80.3779220581,88.1374969482,23.4269046783,0.0000000000
2023-07-06 17:26:02,25.7581310272,-80.3739852905,25.7666168212,-80.3717651367,88.1374969482,-1.0000000000,0.0000000000
2023-07-06 17:26:09,25.7581214904,-80.3739852905,25.7475223541,-80.3675613403,88.0250015258,24.0271549224,0.0000000000
2023-07-06 17:26:12,25.7581081390,-80.3739929199,25.7563419342,-80.3772659301,88.0250015258,23.5984039306,0.0000000000
2023-07-06 17:26:16,25.7581081390,-80.3739929199,25.7512340545,-80.3768386840,88.0250015258,24.1986541748,0.0000000000
2023-07-06 17:26:22,25.7581081390,-80.3739929199,25.7633762359,-80.3767089843,88.0250015258,-1.0000000000,0.0000000000
2023-07-06 17:26:30,25.7581081390,-80.3739929199,25.7551574707,-80.3796005249,88.0250015258,24.1986541748,0.0000000000
2023-07-06 17:26:41,25.7580852508,-80.3739929199,25.7581691741,-80.3770446777,88.0250015258,-1.0000000000,0.0000000000
2023-07-06 17:26:46,25.7580852508,-80.3739929199,25.7641010284,-80.3749694824,88.0250015258,23.3754539489,0.0000000000
2023-07-06 17:26:55,25.7580623626,-80.3739929199,25.7471160888,-80.3699874877,88.1374969482,23.5298042297,0.0000000000
2023-07-06 17:27:07,25.7580623626,-80.3739929199,25.7591381072,-80.3984069824,88.1374969482,23.9242553710,0.0000000000
2023-07-06 17:27:14,25.7580623626,-80.3739929199,25.7560119628,-80.3766098022,88.1374969482,23.8042049407,0.0000000000
2023-07-06 17:27:23,25.7580280303,-80.3740081787,25.7633457183,-80.3770065307,88.1374969482,23.6327056884,0.0000000000
2023-07-06 17:27:29,25.7580146789,-80.3740081787,25.7547569274,-80.3793792724,88.1374969482,23.6498546600,0.0000000000
2023-07-06 17:27:35,25.7580146789,-80.3740081787,25.7503433227,-80.3745117187,88.1374969482,-1.0000000000,0.0000000000
2023-07-06 17:27:41,25.7580089569,-80.3740081787,25.7504501342,-80.3717346191,88.1374969482,23.9071044921,0.0000000000
