Date Time, Latitude,Longitude,Noisy Latitude, Noisy Longitude,Temperature (C),Depth (cm),Turbidity (NTU)
2023-07-06 18:01:08,25.7585430145,-80.3733825683,25.7534275054,-80.3626098632,81.0500030517,-1.0000000000,2957.5043945312
2023-07-06 18:01:09,25.7585430145,-80.3733825683,25.7552852630,-80.3787536621,81.0500030517,30.5270061492,3003.2680664062
2023-07-06 18:01:12,25.7585430145,-80.3733825683,25.7556266784,-80.3726119995,81.0500030517,-1.0000000000,3001.3173828125
2023-07-06 18:01:14,25.7585430145,-80.3733825683,25.7600383758,-80.3794174194,81.1624984741,24.3015556335,1502.0874023437
2023-07-06 18:01:15,25.7585430145,-80.3733825683,25.7511444091,-80.3714828491,81.1624984741,23.9242553710,1826.1381835937
2023-07-06 18:01:19,25.7585430145,-80.3733825683,25.7646808624,-80.3717651367,81.1624984741,23.9242553710,549.4340820312
2023-07-06 18:01:24,25.7585430145,-80.3733825683,25.7571201324,-80.3837127685,81.2750015258,23.8042049407,516.9321289062
2023-07-06 18:01:26,25.7585430145,-80.3733825683,25.7534065246,-80.3697052001,81.1624984741,7.8890013694,549.4340820312
2023-07-06 18:01:28,25.7585430145,-80.3733825683,25.7568073272,-80.3619766235,81.2750015258,24.6274051666,533.2075195312
2023-07-06 18:01:37,25.7585620880,-80.3733520507,25.7499618530,-80.3830871582,81.2750015258,23.5812549591,3000.0000000000
2023-07-06 18:01:39,25.7585620880,-80.3733520507,25.7683391571,-80.3707809448,81.2750015258,-1.0000000000,2477.0405273437
2023-07-06 18:01:45,25.7585620880,-80.3733291625,25.7579154968,-80.3848800659,81.2750015258,23.5298042297,555.5024414062
2023-07-06 18:01:47,25.7585620880,-80.3733291625,25.7723674774,-80.3726577758,81.2750015258,23.6155548095,631.7407226562
2023-07-06 18:01:49,25.7585735321,-80.3733215332,25.7564086914,-80.3713684082,81.2750015258,24.6274051666,706.7739257812
2023-07-06 18:01:53,25.7585754394,-80.3733215332,25.7756996154,-80.3703842163,81.2750015258,23.9414043426,186.6762695312
2023-07-06 18:01:54,25.7585754394,-80.3733215332,25.7660694122,-80.3622207641,81.2750015258,153.5096740722,244.9360251562
2023-07-06 18:01:58,25.7585754394,-80.3733215332,25.7470054626,-80.3756790161,81.2750015258,-1.0000000000,208.3247070312
2023-07-06 18:02:18,25.7585754394,-80.3733215332,25.7523365020,-80.3738021850,81.3874969482,23.8042049407,434.7446289062
2023-07-06 18:02:31,25.7585582733,-80.3733444213,25.7565364837,-80.3670043945,81.3874969482,-1.0000000000,382.6977539062
2023-07-06 18:02:33,25.7585582733,-80.3733444213,25.7536830902,-80.3808212280,81.2750015258,23.5812549591,154.0473632812
2023-07-06 18:02:35,25.7585506439,-80.3733520507,25.7508811950,-80.3685226440,81.3874969482,24.1815052032,259.9418945312
2023-07-06 18:02:44,25.7585544586,-80.3733596801,25.7527542114,-80.3844375610,81.3874969482,24.4044551849,405.6606445312
2023-07-06 18:02:47,25.7585735321,-80.3733520507,25.7591667175,-80.3752059936,81.3874969482,-1.0000000000,296.2133789062
2023-07-06 18:03:01,25.7585830688,-80.3733444213,25.7460002899,-80.3721313476,81.3874969482,-1.0000000000,504.6879882812
2023-07-06 18:03:05,25.7585830688,-80.3733444213,25.7656822204,-80.3604507446,81.3874969482,23.5298042297,643.6684570312
2023-07-06 18:03:07,25.7585830688,-80.3733444213,25.7489509582,-80.3664474487,81.3874969482,-1.0000000000,693.0434570312
2023-07-06 18:03:13,25.7585811614,-80.3733291625,25.7635612487,-80.3768310546,81.3874969482,24.4044551849,340.6840820312
2023-07-06 18:03:15,25.7585792541,-80.3733367919,25.7561206817,-80.3798065185,81.3874969482,23.7356052398,455.4145507812
2023-07-06 18:03:17,25.7585792541,-80.3733367919,25.7585601806,-80.3801116943,81.3874969482,23.5298042297,370.1274414062
2023-07-06 18:03:20,25.7585792541,-80.3733367919,25.7576885223,-80.3831863403,81.3874969482,24.0100040435,488.3188476562
2023-07-06 18:03:28,25.7585792541,-80.3733367919,25.7660617828,-80.3778686523,81.3874969482,24.0271549224,763.2270507812
2023-07-06 18:03:29,25.7585792541,-80.3733367919,25.7701358795,-80.3679962158,81.3874969482,23.6498546600,418.1469726562
2023-07-06 18:03:32,25.7585792541,-80.3733367919,25.7543029785,-80.3648757934,81.3874969482,23.4783554077,388.9711914062
2023-07-06 18:03:35,25.7585792541,-80.3733367919,25.7500591278,-80.3812713623,81.3874969482,24.4216041564,413.9887695312
